Time_h,Mean_OD_Donor_2,Std_OD_Donor_2,Mean_OD_Donor_3,Std_OD_Donor_3,Mean_OD_Donor_4,Std_OD_Donor_4,Mean_OD_Donor_5,Std_OD_Donor_5,Mean_OD_Donor_6,Std_OD_Donor_6,Mean_OD_Donor_7,Std_OD_Donor_7,Mean_OD_Donor_8,Std_OD_Donor_8
0,0.003,0.00435889894354068,0.005,0.00458257569495584,0.004,0.004,0.00366666666666667,0.00472581562625261,0.00466666666666667,0.00404145188432738,0.00600000000000001,0.00360555127546399,0.00566666666666667,0.00808290376865476
0.108888888888889,0.00133333333333333,0.00251661147842359,0.00600000000000001,0.00600000000000001,0.001,0.00264575131106459,0.00233333333333334,0.0045092497528229,0.00466666666666667,0.00814452781524708,0.008,0.00916515138991168,0.004,0.00529150262212919
0.217777777777778,0.00166666666666667,0.00251661147842359,0.00433333333333334,0.00709459888459759,0.001,0.00264575131106459,0.00266666666666667,0.00416333199893227,0.005,0.00964365076099296,0.005,0.00600000000000001,0.004,0.00529150262212919
0.326666666666667,0.00133333333333333,0.00208166599946613,0.00633333333333334,0.007371114795832,0.00133333333333333,0.00288675134594813,0.003,0.00435889894354068,0.00666666666666667,0.0115902257671425,0.00633333333333334,0.00650640709864772,0.00633333333333333,0.00757187779440036
0.435555555555556,0.00166666666666667,0.0023094010767585,0.00566666666666667,0.00650640709864772,0.002,0.00264575131106459,0.00333333333333334,0.00461880215351701,0.00666666666666667,0.0115902257671425,0.00933333333333334,0.0113724814061547,0.009,0.00953939201416946
0.544444444444445,0.00266666666666667,0.00230940107675851,0.00566666666666667,0.00611010092660779,0.00266666666666667,0.00321455025366432,0.004,0.00435889894354068,0.00666666666666667,0.010785793124909,0.0103333333333333,0.0113724814061547,0.007,0.0062449979983984
0.653333333333333,0.00333333333333334,0.00288675134594813,0.00566666666666667,0.00585946527708232,0.004,0.00360555127546399,0.005,0.00519615242270664,0.00666666666666667,0.00907377172587747,0.009,0.00854400374531753,0.00766666666666667,0.00503322295684717
0.762222222222222,0.00533333333333334,0.00288675134594813,0.00633333333333334,0.00461880215351701,0.00566666666666667,0.00416333199893227,0.00666666666666667,0.00577350269189626,0.007,0.00721110255092798,0.0113333333333333,0.0100664459136943,0.00866666666666667,0.0045092497528229
0.871111111111111,0.00733333333333334,0.00378593889720019,0.00666666666666667,0.00493288286231625,0.00800000000000001,0.00435889894354068,0.00866666666666667,0.00585946527708232,0.00833333333333334,0.00650640709864771,0.0136666666666667,0.0100166528008778,0.0106666666666667,0.00513160143944688
0.98,0.00966666666666668,0.00493288286231625,0.00800000000000001,0.00529150262212919,0.011,0.00519615242270663,0.011,0.007,0.00900000000000001,0.00529150262212919,0.0143333333333333,0.00862167810425171,0.0133333333333333,0.00642910050732863
1.08861111111111,0.013,0.00608276253029822,0.009,0.00556776436283002,0.0136666666666667,0.00585946527708231,0.0133333333333333,0.00723417813807023,0.011,0.00556776436283002,0.0166666666666667,0.00850490054811538,0.016,0.007
1.1975,0.016,0.00692820323027551,0.0113333333333333,0.00602771377334171,0.0163333333333333,0.00642910050732863,0.0153333333333333,0.00723417813807023,0.0136666666666667,0.00650640709864771,0.0206666666666667,0.0113724814061547,0.019,0.00793725393319377
1.30638888888889,0.02,0.007,0.0136666666666667,0.00585946527708231,0.0203333333333333,0.00635085296108588,0.0193333333333333,0.00814452781524708,0.0173333333333333,0.00702376916856849,0.023,0.0105830052442584,0.0226666666666667,0.00850490054811538
1.41527777777778,0.025,0.00871779788708135,0.0156666666666667,0.00611010092660778,0.024,0.00781024967590666,0.0226666666666667,0.00929157324317757,0.0206666666666667,0.00850490054811538,0.0256666666666667,0.0101159939369957,0.0276666666666667,0.0102143689640297
1.52416666666667,0.032,0.0113578166916005,0.0193333333333333,0.00665832811847939,0.0303333333333333,0.00981495457622364,0.0293333333333333,0.0115902257671425,0.0256666666666667,0.0110151410945722,0.03,0.0113578166916005,0.0333333333333333,0.0125033328890074
1.63305555555556,0.0383333333333333,0.0133166562369588,0.0223333333333333,0.00763762615825974,0.0363333333333333,0.0115902257671425,0.035,0.013,0.0306666666666667,0.0130128141972954,0.035,0.0122882057274445,0.0396666666666667,0.0144683562761405
1.74194444444444,0.0476666666666667,0.0153731367434669,0.0276666666666667,0.00971253485622231,0.045,0.013856406460551,0.0416666666666667,0.0136503968196289,0.0376666666666667,0.0150111069989303,0.0416666666666667,0.014742229591664,0.048,0.0164620776331543
1.85055555555556,0.0533333333333333,0.0150111069989303,0.0323333333333333,0.0112398102000582,0.0516666666666667,0.0153079500042734,0.0486666666666667,0.0162890556304942,0.0446666666666667,0.0190087699058443,0.049,0.0173493515728975,0.0536666666666667,0.0170391705588427
1.95944444444444,0.0613333333333333,0.0133166562369588,0.0393333333333333,0.0122202018532156,0.0586666666666667,0.0135769412362775,0.0556666666666667,0.0127410099024109,0.05,0.018,0.058,0.019,0.0606666666666667,0.0161967074843418
2.06833333333333,0.0703333333333333,0.0133166562369588,0.046,0.0134536240470737,0.0663333333333333,0.0124230967690561,0.0633333333333333,0.0124230967690561,0.0546666666666667,0.0155670592384475,0.0676666666666667,0.0202566861389847,0.0683333333333333,0.0158850034099251
2.17722222222222,0.078,0.0155884572681199,0.0513333333333333,0.0119303534454488,0.0736666666666667,0.0109696551146029,0.0713333333333333,0.0124230967690562,0.0603333333333333,0.0142945210949277,0.074,0.019,0.0753333333333333,0.0141539158303748
