"CS","donor","PCoA_data_1","PCoA_data_2","BaseMedia"
"Acetate",2,0.24921489205011,0.100062657334527,"BHI_10"
"Acetate",3,0.329094622099403,0.0922811800174023,"BHI_10"
"Acetate",4,0.298539168576485,0.0203279847507,"BHI_10"
"Acetate",5,0.307566869941942,-0.0134328745561269,"BHI_10"
"Acetate",6,0.245831607101092,0.0202290100067023,"BHI_10"
"Acetate",7,0.236069907840974,-0.0336336228239026,"BHI_10"
"Acetate",8,0.252692073551553,0.124729255084197,"BHI_10"
"Arabinose",2,-0.0940723590903238,-0.0217151305569281,"BHI_10"
"Arabinose",3,-0.102501531038178,-0.021693839100697,"BHI_10"
"Arabinose",4,-0.0755565484499446,-0.0196306476923788,"BHI_10"
"Arabinose",5,-0.103852924620667,-0.0192191224037704,"BHI_10"
"Arabinose",6,-0.0924769915266234,-0.032109640441185,"BHI_10"
"Arabinose",7,-0.0867957745839045,-0.0531155340372473,"BHI_10"
"Arabinose",8,-0.00976212180271737,-0.0335978727009342,"BHI_10"
"Citrate",2,0.061452904433754,0.0285793434855218,"BHI_10"
"Citrate",3,0.149292525615465,-0.0248893843520596,"BHI_10"
"Citrate",4,0.0653905958017783,-0.0104952954347236,"BHI_10"
"Citrate",5,-0.000144351046107449,-0.0359242804459074,"BHI_10"
"Citrate",6,0.109774193301544,-0.0431434816646727,"BHI_10"
"Citrate",7,0.0911655441487426,-0.0527351411329645,"BHI_10"
"Citrate",8,0.0725782127719199,-0.0830546933015944,"BHI_10"
"Fructose",2,-0.08005893176333,-0.00369702464226958,"BHI_10"
"Fructose",3,-0.0883999357278489,-0.00951776925029644,"BHI_10"
"Fructose",4,-0.0919317682491296,0.00480260170916417,"BHI_10"
"Fructose",5,-0.0936953028539605,0.0068911285717886,"BHI_10"
"Fructose",6,-0.115811079221099,-0.00233848625717021,"BHI_10"
"Fructose",7,-0.104022156169308,-0.0492723892397621,"BHI_10"
"Fructose",8,-0.039802247867075,0.216717749240495,"BHI_10"
"Fucose",2,-0.0717611793106918,-0.0244182140023933,"BHI_10"
"Fucose",3,-0.0768368176842357,-0.0341849236583825,"BHI_10"
"Fucose",4,-0.07531390620457,-0.0383852577096367,"BHI_10"
"Fucose",5,-0.0920718541554776,-0.022349291192072,"BHI_10"
"Fucose",6,-0.0795295630583915,-0.0351003266725792,"BHI_10"
"Fucose",7,-0.0315376919527201,-0.0632467285721938,"BHI_10"
"Fucose",8,0.000201561215464277,-0.0242354132726351,"BHI_10"
