"Family","Donor","CS","OD","OD_median","relab","relab_median","BaseMedia"
"Acidaminococcaceae",3,"Glycerol",0.3405,0.30725,0.0058312975,0.0058312975,"BHI_10"
"Acidaminococcaceae",4,"Glycerol",0.3185,0.30725,NA,0.0058312975,"BHI_10"
"Acidaminococcaceae",5,"Glycerol",0.333,0.30725,NA,0.0058312975,"BHI_10"
"Acidaminococcaceae",6,"Glycerol",0.2635,0.30725,0.027832069,0.0058312975,"BHI_10"
"Acidaminococcaceae",7,"Glycerol",0.296,0.30725,0.004078411,0.0058312975,"BHI_10"
"Acidaminococcaceae",8,"Glycerol",NA,0.30725,NA,0.0058312975,"BHI_10"
"Acidaminococcaceae",2,"Lactose",0.471,0.4885,NA,0.003557385,"BHI_10"
"Acidaminococcaceae",3,"Lactose",0.479,0.4885,0.000579871,0.003557385,"BHI_10"
"Acidaminococcaceae",4,"Lactose",0.4885,0.4885,NA,0.003557385,"BHI_10"
"Acidaminococcaceae",5,"Lactose",0.489,0.4885,NA,0.003557385,"BHI_10"
"Acidaminococcaceae",6,"Lactose",0.527,0.4885,0.004068296,0.003557385,"BHI_10"
"Acidaminococcaceae",7,"Lactose",0.456,0.4885,0.003377341,0.003557385,"BHI_10"
"Acidaminococcaceae",8,"Lactose",0.544,0.4885,0.003737429,0.003557385,"BHI_10"
"Acidaminococcaceae",2,"Maltose",0.46,0.497,NA,0.001802791,"BHI_10"
"Acidaminococcaceae",3,"Maltose",0.497,0.497,0.001480806,0.001802791,"BHI_10"
"Acidaminococcaceae",4,"Maltose",0.504,0.497,NA,0.001802791,"BHI_10"
"Acidaminococcaceae",5,"Maltose",0.4965,0.497,NA,0.001802791,"BHI_10"
"Acidaminococcaceae",6,"Maltose",0.521,0.497,0.002124776,0.001802791,"BHI_10"
"Acidaminococcaceae",7,"Maltose",0.4605,0.497,0.004571264,0.001802791,"BHI_10"
"Acidaminococcaceae",8,"Maltose",0.5665,0.497,0.000639854,0.001802791,"BHI_10"
"Acidaminococcaceae",2,"Mannitol",0.521,0.5095,NA,0.00374405025,"BHI_10"
"Acidaminococcaceae",3,"Mannitol",0.4475,0.5095,0.003755273,0.00374405025,"BHI_10"
"Acidaminococcaceae",4,"Mannitol",0.4975,0.5095,NA,0.00374405025,"BHI_10"
"Acidaminococcaceae",5,"Mannitol",0.5205,0.5095,NA,0.00374405025,"BHI_10"
"Acidaminococcaceae",6,"Mannitol",0.4965,0.5095,0.0037328275,0.00374405025,"BHI_10"
"Acidaminococcaceae",7,"Mannitol",0.5095,0.5095,0.005107642,0.00374405025,"BHI_10"
"Acidaminococcaceae",8,"Mannitol",0.5235,0.5095,0.0007773645,0.00374405025,"BHI_10"
"Acidaminococcaceae",2,"Mannose",0.4565,0.5305,NA,0.004366175,"BHI_10"
"Acidaminococcaceae",3,"Mannose",0.4925,0.5305,0.006007939,0.004366175,"BHI_10"
"Acidaminococcaceae",4,"Mannose",0.5305,0.5305,NA,0.004366175,"BHI_10"
"Acidaminococcaceae",5,"Mannose",0.5535,0.5305,NA,0.004366175,"BHI_10"
"Acidaminococcaceae",6,"Mannose",0.5705,0.5305,0.003895141,0.004366175,"BHI_10"
"Acidaminococcaceae",7,"Mannose",0.5275,0.5305,0.004837209,0.004366175,"BHI_10"
"Acidaminococcaceae",8,"Mannose",0.5635,0.5305,0.001092764,0.004366175,"BHI_10"
"Acidaminococcaceae",2,"Melibiose",0.561,0.561,NA,0.0017611435,"BHI_10"
"Acidaminococcaceae",3,"Melibiose",0.603,0.561,0.001417943,0.0017611435,"BHI_10"
"Acidaminococcaceae",4,"Melibiose",0.47,0.561,NA,0.0017611435,"BHI_10"
"Acidaminococcaceae",5,"Melibiose",0.521,0.561,NA,0.0017611435,"BHI_10"
"Acidaminococcaceae",6,"Melibiose",0.4965,0.561,0.0062768095,0.0017611435,"BHI_10"
"Acidaminococcaceae",7,"Melibiose",0.683,0.561,0.002104344,0.0017611435,"BHI_10"
"Acidaminococcaceae",8,"Melibiose",0.5795,0.561,0.0010872775,0.0017611435,"BHI_10"
"Acidaminococcaceae",2,"Oxaloacetate",0.279,0.278,0.002822923,0.0066076995,"BHI_10"
"Acidaminococcaceae",3,"Oxaloacetate",0.278,0.278,0.004555399,0.0066076995,"BHI_10"
"Acidaminococcaceae",4,"Oxaloacetate",0.247,0.278,NA,0.0066076995,"BHI_10"
"Acidaminococcaceae",5,"Oxaloacetate",0.269,0.278,NA,0.0066076995,"BHI_10"
"Acidaminococcaceae",6,"Oxaloacetate",0.271,0.278,0.0066076995,0.0066076995,"BHI_10"
"Acidaminococcaceae",7,"Oxaloacetate",0.286,0.278,0.00678733,0.0066076995,"BHI_10"
"Acidaminococcaceae",8,"Oxaloacetate",0.314,0.278,0.010864851,0.0066076995,"BHI_10"
"Acidaminococcaceae",2,"Pyruvate",0.3315,0.309,0.00076813,0.0017197285,"BHI_10"
"Acidaminococcaceae",3,"Pyruvate",0.279,0.309,0.0006523975,0.0017197285,"BHI_10"
"Acidaminococcaceae",4,"Pyruvate",0.309,0.309,NA,0.0017197285,"BHI_10"
"Acidaminococcaceae",5,"Pyruvate",0.3125,0.309,NA,0.0017197285,"BHI_10"
"Acidaminococcaceae",6,"Pyruvate",0.2795,0.309,0.0017197285,0.0017197285,"BHI_10"
