Value,Color
0.0233476805675844,"(1.0000, 0.6588, 0.2863)"
0.00441294105232509,"(1.0000, 0.6588, 0.2863)"
0.0146128937920368,"(1.0000, 0.6588, 0.2863)"
0.118876041007579,"(1.0000, 0.6588, 0.2863)"
0.0136558886368421,"(1.0000, 0.6588, 0.2863)"
0.0327872649497581,"(1.0000, 0.6588, 0.2863)"
0.0621848221133697,"(1.0000, 0.6588, 0.2863)"
0.00187284567481487,"(1.0000, 0.6588, 0.2863)"
0.00483278964006742,"(1.0000, 0.6588, 0.2863)"
0.000829529327833251,"(0.9059, 0.1608, 0.5412)"
0.0145347358686199,"(0.9059, 0.1608, 0.5412)"
0.000192196284207138,"(0.6980, 0.8745, 0.5412)"
0.00607721209297066,"(0.4000, 0.6510, 0.1176)"
0.0172637105692268,"(0.4000, 0.6510, 0.1176)"
0.0429069259019242,"(0.4000, 0.6510, 0.1176)"
0.0464131193055641,"(0.4000, 0.6510, 0.1176)"
0.144072078405351,"(0.4000, 0.6510, 0.1176)"
0.00621922272423748,"(0.4000, 0.6510, 0.1176)"
0.0135485406038235,"(0.4000, 0.6510, 0.1176)"
0.0219133496483821,"(0.4000, 0.6510, 0.1176)"
0.00489033367196829,"(0.4000, 0.6510, 0.1176)"
0.00363126806708028,"(0.4000, 0.6510, 0.1176)"
0.00861005573597329,"(0.4000, 0.6510, 0.1176)"
0.0121133247023758,"(0.4000, 0.6510, 0.1176)"
0.00474480521306928,"(0.1216, 0.4706, 0.7059)"
0.0351734806705362,"(0.1216, 0.4706, 0.7059)"
0.00111759920434182,"(0.1216, 0.4706, 0.7059)"
0.000256261712276184,"(0.1216, 0.4706, 0.7059)"
0.00884291584851957,"(0.1216, 0.4706, 0.7059)"
0.0486462256350942,"(0.1216, 0.4706, 0.7059)"
0.0161542327390828,"(0.1216, 0.4706, 0.7059)"
0.00936330643460684,"(0.1216, 0.4706, 0.7059)"
0.0372900525144192,"(0.1216, 0.4706, 0.7059)"
0.000860323691418429,"(0.4615, 0.4615, 0.4615)"
0.0138772648402331,"(1.0000, 1.0000, 0.6000)"
0.123258205724147,"(1.0000, 1.0000, 0.6000)"
0.00103788305500628,"(1.0000, 1.0000, 0.6000)"
0.0689278663880804,"(0.7922, 0.6980, 0.8392)"
0.0106508059852528,"(0.3216, 0.5961, 0.6314)"
