"Time","AbsAb","StdDev","Species","Family"
34,0.00971312322544897,0.000602584860645622,"Clostridium symbiosum","Lachnospiraceae"
48,0.00944261022602502,0.000286298657599803,"Clostridium symbiosum","Lachnospiraceae"
0.5,0.000420632732367248,5.08405585867654e-05,"Clostridium hathewayi","Lachnospiraceae"
1,0.000383857272477285,5.40975898246398e-05,"Clostridium hathewayi","Lachnospiraceae"
2,0.000344307972248228,5.77870415879652e-05,"Clostridium hathewayi","Lachnospiraceae"
3,0.000668388088889232,0.000298985676487544,"Clostridium hathewayi","Lachnospiraceae"
4,0.00106260025714269,0.000126579802641558,"Clostridium hathewayi","Lachnospiraceae"
5,0.00208544843156955,0.000340421791965861,"Clostridium hathewayi","Lachnospiraceae"
6,0.00271000834923701,0.000308539285370152,"Clostridium hathewayi","Lachnospiraceae"
7,0.00220467748762471,0.000463401261951043,"Clostridium hathewayi","Lachnospiraceae"
8,0.00241813365492291,0.000388963125006539,"Clostridium hathewayi","Lachnospiraceae"
10,0.00295984450215754,0.00036171899608478,"Clostridium hathewayi","Lachnospiraceae"
12,0.00231501477899329,0.00034393583399376,"Clostridium hathewayi","Lachnospiraceae"
16,0.00256028358844853,0.000293549630094635,"Clostridium hathewayi","Lachnospiraceae"
20,0.00290367795135638,0.000591910935485314,"Clostridium hathewayi","Lachnospiraceae"
24,0.00252829771158873,0.000259643406421424,"Clostridium hathewayi","Lachnospiraceae"
34,0.0029919443085674,0.000510158835793129,"Clostridium hathewayi","Lachnospiraceae"
48,0.00277042765318606,0.000969094115434591,"Clostridium hathewayi","Lachnospiraceae"
