Index,Point,PCoA_1,PCoA_2
M9,1,NaN,NaN
M9,2,0.349138994538067,-0.138814991758198
M9,3,0.457601342621499,-0.0378028534486093
M9,4,0.327910832159285,-0.127893894027829
M9,5,0.438538097971581,0.0153621289602318
M9,6,0.473507756093036,0.384929307458956
M9,7,0.465991984590212,0.278968549169609
M9,8,0.392555342501684,0.0384086836354743
M9,9,0.341641644566507,-0.0843267273745605
M9,10,0.472902463594162,0.374917274220705
M9,11,0.322362263013519,-0.157400753548068
M9,12,0.354647830102783,-0.111700989642931
M9,13,0.357389450434445,-0.0989285395167625
M9,14,0.42177988974036,0.104374906566196
M9,15,0.36776040744512,-0.0300808639794354
M9,16,0.391634498003677,-0.0354528419653894
M9,17,0.292862505419538,0.0163630289943015
M9,18,0.262441410676599,-0.126355266856401
M9,19,0.399866879732455,0.0698570667208996
M9,20,0.336357285103404,-0.0962756344950278
M9,21,NaN,NaN
M9,22,0.394379858794417,0.00894416156375216
M9,23,NaN,NaN
M9,24,NaN,NaN
M9,25,0.345246652112893,-0.151166114308553
M9,26,0.39734132520677,-0.0281945398189217
M9,27,0.267897759094376,-0.113016686104596
M9,28,0.434185889682939,0.0347883146680036
M9,29,0.430800706559494,0.291034724381528
M9,30,0.410856062595612,0.26301862587894
M9,31,0.356007571744782,0.00265938795317466
M9,32,0.363438774782612,-0.101453182134441
M9,33,NaN,NaN
M9,34,0.295384027795448,-0.172446265647008
M9,35,0.324446099046007,-0.145795834632681
M9,36,0.350479908326066,-0.105253694039075
M9,37,0.419753710161708,0.0354792095015966
M9,38,0.399724188732377,0.0216735098546752
M9,39,0.365780144516776,-0.0342912331053676
M9,40,0.327686706947192,0.0196417468275751
M9,41,0.280528918859581,-0.123023941507534
M9,42,0.417969592687519,0.0724892784732237
M9,43,0.362112441100318,-0.0799194787364726
M9,44,NaN,NaN
M9,45,0.330073452357153,-0.0645515780729294
M9,46,NaN,NaN
M9,47,NaN,NaN
M9,48,0.320106603290914,-0.163872922827512
M9,49,0.381603303744642,-0.0697357548456725
M9,50,0.282643618780569,-0.209196079655316
M9,51,0.437447186459292,0.0248755993480516
M9,52,0.443467940713257,0.310599592051377
M9,53,0.464979321949792,0.227882891288574
M9,54,0.384169817645622,0.0926216305432631
M9,55,0.374208375189506,-0.0899022564075696
M9,56,0.472902463594162,0.374917274220704
M9,57,0.306796718230024,-0.207133479271426
M9,58,0.343866939446061,-0.135247185972796
M9,59,0.327266337805634,-0.107175542982332
M9,60,0.393861662086804,-0.0131253010492576
M9,61,0.406154413382648,0.0208610962561818
M9,62,0.36023672932771,-0.0343232930242629
M9,63,0.284094063367629,0.0164869553763655
M9,64,0.358826993452019,-0.079212176834766
M9,65,0.417474371852948,0.0813167887560964
M9,66,0.349523125049716,-0.080934643617318
M9,67,NaN,NaN
M9,68,0.395616110535056,-0.0860860502983274
M9,69,NaN,NaN
M9,70,NaN,NaN
M9,71,0.325613319726082,-0.164673677656948
M9,72,0.292344426388664,-0.241200605577359
M9,73,0.314394557742852,-0.12742527105575
M9,74,0.449099027884335,0.0280371045743649
M9,75,0.425063035258786,0.376351540506039
M9,76,0.444609566504536,0.256067384153864
M9,77,0.39730145603269,0.0886288887323343
M9,78,0.343805085293877,-0.123931449612033
M9,79,NaN,NaN
M9,80,0.278583660788302,-0.165894105623824
M9,81,0.325758785524359,-0.137884785690491
M9,82,0.32263612643018,-0.107083204703851
M9,83,0.393223693461874,0.0506414045824571
M9,84,0.36908430726643,-0.0112118787587772
M9,85,0.353658764659324,0.00242540435645629
M9,86,0.311824535970207,0.0112060786992535
M9,87,0.304725262629131,-0.0953904139961286
M9,88,0.419528044731964,0.0459815363120946
M9,89,0.345945688160263,-0.103450207671672
M9,90,NaN,NaN
M9,91,0.346368179352711,0.0260898463959894
M9,92,NaN,NaN
m9BHI,1,-0.272627243525699,0.0426257757189651
m9BHI,2,-0.234008748173646,0.0135370599668624
m9BHI,3,-0.230239499664686,0.0127324513964143
m9BHI,4,-0.240649443560701,0.00715959422207354
m9BHI,5,-0.228878631541059,0.0140559032676408
m9BHI,6,-0.221962242799405,-0.00498288292077208
m9BHI,7,-0.232439751768671,0.0215439009257685
m9BHI,8,-0.213237374715976,-0.00719543860842803
m9BHI,9,-0.202410402096313,-0.0226788274133067
m9BHI,10,-0.210318819421305,-0.00204628994613992
m9BHI,11,-0.21661484960912,0.014222981192903
m9BHI,12,-0.192236743390064,-0.0117085548249243
m9BHI,13,-0.227787566609927,0.0060197966010171
m9BHI,14,-0.207743509086865,0.000995511942085128
m9BHI,15,-0.222089892180454,0.00165602780024338
m9BHI,16,-0.234955537865469,0.0203615309526964
m9BHI,17,-0.252427671261417,0.0202025017323962
m9BHI,18,-0.252131656024983,0.0321107055473275
m9BHI,19,-0.227177735141587,0.0293236310800004
m9BHI,20,-0.250243301330065,0.0288897549498215
m9BHI,21,-0.256326598858931,0.0404661089860896
m9BHI,22,-0.184445474180126,-0.0318814964553741
m9BHI,23,-0.278345232676374,0.0481052119382907
m9BHI,24,-0.272775088395398,0.0488564844593076
m9BHI,25,-0.232588395683135,0.0409044059532347
m9BHI,26,-0.23178068669641,0.0162788473621758
m9BHI,27,-0.252453287285846,0.0337000594189335
m9BHI,28,-0.227418733833339,0.000840825635929143
m9BHI,29,-0.231734631551195,0.0140135046566923
m9BHI,30,-0.243340063728879,0.03924961155263
m9BHI,31,-0.228758134564105,0.0127466861303891
m9BHI,32,-0.200916120190807,-0.0170541745562143
m9BHI,33,-0.235972113503496,0.0175721860525497
m9BHI,34,-0.227142247311811,0.0183344412605606
m9BHI,35,-0.203387174199124,0.000232978991852923
m9BHI,36,-0.245780105151814,0.023741213502634
m9BHI,37,-0.228276123906763,0.00545581749374222
m9BHI,38,-0.227269390181321,0.00868937209134875
m9BHI,39,-0.247630902977401,0.0384089183300079
m9BHI,40,-0.270670397800638,0.0426683894132926
m9BHI,41,-0.249950112469924,0.019196249920594
m9BHI,42,-0.222004688280251,0.0217753511700567
m9BHI,43,-0.213905396159332,0.00349638454733544
m9BHI,44,-0.262912431314405,0.0318290499763865
m9BHI,45,-0.20155499019419,-0.0172885555276177
m9BHI,46,-0.267545274347702,0.0477042709462276
m9BHI,47,-0.269221494841712,0.0300317218603354
m9BHI,48,-0.227240027126084,0.0048182163341042
m9BHI,49,-0.247056679340812,0.0218131905408258
m9BHI,50,-0.238570870253886,0.00691896731898796
m9BHI,51,-0.230527669203084,0.00904870434051546
m9BHI,52,-0.223831409811537,-0.000984430360756563
m9BHI,53,-0.247478121507724,0.0303889761156787
m9BHI,54,-0.210877231217691,-0.0215470094496205
m9BHI,55,-0.20797656868728,-0.020135106366919
m9BHI,56,-0.177478497575681,-0.0285860552257723
m9BHI,57,-0.222401707821747,0.00721122632020076
m9BHI,58,-0.18631144107921,-0.0260075875939279
m9BHI,59,-0.252600000522135,0.0310156974495349
m9BHI,60,-0.231040755094632,0.0209415634087163
m9BHI,61,-0.240890853271221,0.0155614223437458
m9BHI,62,-0.249754491309309,0.036812638273693
m9BHI,63,-0.262664997661685,0.0431449945014142
m9BHI,64,-0.257686225663205,0.0365887964047234
m9BHI,65,-0.220114789893711,0.0178045319697945
m9BHI,66,-0.234946897429944,0.0398980369412918
m9BHI,67,-0.259553066477527,0.043668230487767
m9BHI,68,-0.195702462393843,-0.0300239180220634
m9BHI,69,-0.26846782915559,0.0335335020412276
m9BHI,70,-0.263981688744985,0.0215912985906924
m9BHI,71,-0.238146283430243,0.0126755025469687
m9BHI,72,-0.245836289914756,0.0304087856290216
