"time","Alignment.ID","Metabolite.name","value","rep","species","polarity","met.id","met.id.pol","value.norm","value.norm.mean"
16,2547,"Glucose",5936,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00258584225229648,0.00350087056406529
18,2547,"Glucose",3845,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00185229701691058,0.00269414122244616
18,2547,"Glucose",7401,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00324002873604732,0.00269414122244616
18,2547,"Glucose",6864,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00299009791438057,0.00269414122244616
20,2547,"Glucose",8667,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00417525572056281,0.00381055501654034
20,2547,"Glucose",10808,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00473155392233475,0.00381055501654034
20,2547,"Glucose",5796,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00252485540672345,0.00381055501654034
22,2547,"Glucose",5493,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.0026462074158361,0.00411740612272385
22,2547,"Glucose",12067,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00528272216698866,0.00411740612272385
22,2547,"Glucose",10154,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00442328878534678,0.00411740612272385
24,2547,"Glucose",5457,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00262886471294695,0.00405215757629341
24,2547,"Glucose",9944,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00435330978938719,0.00405215757629341
24,2547,"Glucose",11878,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00517429822654609,0.00405215757629341
28,2547,"Glucose",3387,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00163165929682084,0.00308393658152996
28,2547,"Glucose",8591,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00376098998397278,0.00308393658152996
28,2547,"Glucose",8859,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00385916046379625,0.00308393658152996
32,2547,"Glucose",5205,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00250746579272291,0.00402873762558454
32,2547,"Glucose",15060,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00659300537290537,0.00402873762558454
32,2547,"Glucose",6854,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00298574171112535,0.00402873762558454
36,2547,"Glucose",7094,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00341747595265635,0.00383525803692741
36,2547,"Glucose",7517,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00329081151315602,0.00383525803692741
36,2547,"Glucose",11013,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00479748664496987,0.00383525803692741
40,2547,"Glucose",12837,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00618411880522266,0.00566984077616983
40,2547,"Glucose",14213,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00622220354349961,0.00566984077616983
40,2547,"Glucose",10567,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00460319997978722,0.00566984077616983
44,2547,"Glucose",12203,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00587869453767485,0.00406368927025777
44,2547,"Glucose",6757,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00295809676658178,0.00406368927025777
44,2547,"Glucose",7700,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00335427650651666,0.00406368927025777
48,2547,"Glucose",7088,1,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00341458550217482,0.00534126196969683
48,2547,"Glucose",16599,2,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00726675273471821,0.00534126196969683
48,2547,"Glucose",12264,3,"15-mem","neg","Glucose_2547","Glucose_2547_Hilic-neg",0.00534244767219745,0.00534126196969683
0,3078,"Arginine",486792800,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",1,1
0,3078,"Arginine",441243168,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",1,1
0,3078,"Arginine",459882176,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",1,1
1,3078,"Arginine",456423936,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.937614391713241,1.09662940555671
1,3078,"Arginine",543598272,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",1.23196983022303,1.09662940555671
1,3078,"Arginine",515207840,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",1.12030399473385,1.09662940555671
2,3078,"Arginine",463695104,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.952551276533771,0.985341302942539
2,3078,"Arginine",439240512,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.995461330303337,0.985341302942539
2,3078,"Arginine",463566432,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",1.00801130199051,0.985341302942539
3,3078,"Arginine",484861856,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.996033332875849,1.02663760339405
3,3078,"Arginine",486343808,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",1.10221266224294,1.02663760339405
3,3078,"Arginine",451451072,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.981666815063372,1.02663760339405
4,3078,"Arginine",430862016,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.885103508340502,1.00175007451733
4,3078,"Arginine",453481760,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",1.02773661296046,1.00175007451733
4,3078,"Arginine",502379936,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",1.09241010225104,1.00175007451733
5,3078,"Arginine",3460610,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00710899995417147,0.0132105531706543
