Time_h,log_OD,GrowthRate_h-1
0,-4.01944751116861,-0.273512271270157
0.0941666666666667,-4.1737771619174,-0.213467775929485
0.188333333333333,-4.1737771619174,-0.193361997860086
0.282222222222222,-4.1737771619174,-0.16371993458526
0.376388888888889,-4.10854429948295,-0.0944093895800162
0.470555555555556,-4.1737771619174,-0.149684784479672
0.564444444444444,-4.04924142827903,-0.01406614603806
0.658611111111111,-4.07627503891416,7.5535101522981e-06
0.752777777777778,-4.04924142827903,0.0140759661690857
0.846944444444444,-4.04924142827903,0.0405415267676645
0.940833333333333,-4.10854429948295,0.0447911305500288
1.035,-4.1737771619174,0.158603184314128
1.12916666666667,-4.1737771619174,0.178386591643361
1.22305555555556,-4.1737771619174,0.204798047972824
1.31722222222222,-4.1299984945637,0.242296379186055
1.41138888888889,-4.10979028729156,0.274059555512609
1.50555555555556,-4.08508762990698,0.299850260907699
1.59972222222222,-4.0688242418505,0.352005672761736
1.69361111111111,-4.0267738134082,0.407738563016223
1.78777777777778,-4.07801720624319,0.577568166606125
1.88194444444444,-4.05338746028291,0.640049229548714
1.97611111111111,-3.96470326325706,0.703540491342834
2.07,-3.91264878798268,0.777448604964032
2.16416666666667,-3.84160150369657,0.842138151852615
2.25833333333333,-3.73861124152775,0.910498396685935
2.3525,-3.66705995208717,0.98659241871465
2.44666666666667,-3.56554943515351,1.04169991232161
2.54055555555556,-3.45498107103471,1.10186749937778
2.63472222222222,-3.35043831465838,1.14567199691389
2.72888888888889,-3.23492297046152,1.18492889926738
2.82305555555556,-3.12118222669366,1.22913133947276
2.91694444444444,-3.00295562946774,1.2532783285701
3.01111111111111,-2.8886419489686,1.27465659015101
3.10527777777778,-2.76999184407047,1.25825697468031
3.19944444444444,-2.63600799011238,1.20798502305764
3.29333333333333,-2.50842794496635,1.13573372668226
3.3875,-2.38957296899965,1.04913719939019
3.48166666666667,-2.26140488835409,0.952548938214063
3.57555555555556,-2.21204821745942,0.835037943041066
3.66972222222222,-2.15879088615386,0.702808470092894
3.76416666666667,-2.10398490442777,0.580018298233216
3.85805555555556,-2.04429062340864,0.47126081992764
3.95222222222222,-1.99162527537546,0.380518603810443
4.04638888888889,-1.96976106635089,0.321844535484126
4.14027777777778,-1.95905826808185,0.262773928523606
4.23444444444444,-1.93800226598462,0.206659237496316
4.32861111111111,-1.92247719263614,0.158898765416115
4.42277777777778,-1.91056583262004,0.12776799723937
4.51694444444444,-1.90214798700662,0.11259182828089
4.61083333333333,-1.89048640683904,0.102462013293028
4.705,-1.88388557900716,0.0912647952942257
4.79916666666667,-1.87732803747094,0.083705555063911
4.89333333333333,-1.86921631108113,0.0796569979104361
4.9875,-1.86436151577945,0.0762342953451165
5.08138888888889,-1.85472478834612,0.075100637431984
5.17555555555556,-1.84677772472256,0.0756404592037636
5.26972222222222,-1.84204546869107,0.0768717630511274
5.36388888888889,-1.83420758741444,0.077034526723797
5.45805555555556,-1.82954383616055,0.0792708253774478
5.55194444444444,-1.81871539593403,0.0792126110841855
5.64611111111111,-1.81256978092562,0.0816749546946156
5.74027777777778,-1.80346766341094,0.0841225689273951
5.83416666666667,-1.79747804085897,0.0868682104740733
5.92833333333333,-1.78693680516271,0.0896061351392234
6.0225,-1.78104375428174,0.0910464694495449
6.11666666666667,-1.77074048668349,0.0915428131310424
6.21055555555556,-1.76352444614942,0.0910143378522618
6.30472222222222,-1.75192203691695,0.0902575196216275
6.39888888888889,-1.74330411641117,0.0876614696167541
6.49305555555556,-1.73339056164637,0.0857452824975149
6.58722222222222,-1.72912203894833,0.0841020257457372
6.68138888888889,-1.72068948308502,0.0827736570622129
6.77555555555556,-1.71369845668597,0.0822795784062082
6.86972222222222,-1.70676220406453,0.0834607931128719
6.96388888888889,-1.69985635604462,0.0861708890812558
7.05777777777778,-1.68896715001799,0.0902920681155553
7.15194444444445,-1.68225437217876,0.0920171103896909
7.24611111111111,-1.67150487232488,0.0921222251554519
7.34027777777778,-1.66355078572613,0.0912825801872282
7.43444444444444,-1.65304816643012,0.0881858742931489
7.52861111111111,-1.64396708469584,0.0836117317242972
7.6225,-1.63618594059791,0.0799075282060275
7.71666666666667,-1.63106278943833,0.0744372911695148
7.81083333333333,-1.62347192600277,0.0697240918079868
7.905,-1.61841312780015,0.0652858973786391
7.99888888888889,-1.61210753434535,0.0627743582182297
8.09305555555556,-1.60583359957896,0.0617473713146254
8.18722222222222,-1.60090660363452,0.0611626686433578
8.28138888888889,-1.59596043915776,0.0597533731165692
8.37527777777778,-1.5898395844787,0.0583686476867682
8.46944444444444,-1.58370072501237,0.0565125714095802
8.56361111111111,-1.57764544382301,0.0538102354015541
8.65777777777778,-1.57281268372362,0.0517293726205307
8.75166666666667,-1.56800317564112,0.0496346424524411
8.84583333333333,-1.56443919314087,0.046983398227024
8.94,-1.55966957509381,0.0440145202084405
9.03416666666667,-1.55724820607203,0.0433495112802295
9.12833333333333,-1.55251290872164,0.0431704836054641
9.22222222222222,-1.54779993607128,0.0418897502054643
9.31638888888889,-1.54425850585169,0.0404205815167087
9.41055555555556,-1.54192704324054,0.0388092263178197
9.50472222222222,-1.5349370519004,0.037205720466772
9.59888888888889,-1.53143988751646,0.0344979141805056
9.69305555555556,-1.53027438424,0.0314833557471154
9.78722222222222,-1.52793781659152,0.0295916525848097
9.88138888888889,-1.5244941113381,0.0271759221269981
9.97555555555556,-1.5222107047854,0.0243005463587838
10.0697222222222,-1.5199114127176,0.023120717637666
10.1638888888889,-1.51876198540544,0.022186995824404
10.2580555555556,-1.51534962303072,0.0209190315158813
