CS,Donor,OD,CV,BaseMedia
Mannose,1,0.49125,0.0844456643920751,BHI_10
Mannose,2,0.464,0.2997213909745,BHI_10
Mannose,3,0.504,0.148910900212959,BHI_10
Mannose,4,0.52875,0.0188098077198873,BHI_10
Mannose,5,0.55125,0.0466363710980118,BHI_10
Mannose,6,0.577,0.0397481627077287,BHI_10
Mannose,7,0.51675,0.0692055043862271,BHI_10
Mannose,8,0.57525,0.0673923844946943,BHI_10
Melibiose,1,0.5125,0.0364865875193645,BHI_10
Melibiose,2,0.52925,0.171142777592439,BHI_10
Melibiose,3,0.6075,0.0595708922206464,BHI_10
Melibiose,4,0.4695,0.0500872247765915,BHI_10
Melibiose,5,0.52325,0.0339506264752241,BHI_10
Melibiose,6,0.49175,0.060947268208015,BHI_10
Melibiose,7,0.67625,0.0317700414491569,BHI_10
Melibiose,8,0.58075,0.0745592904486981,BHI_10
Oxaloacetate,1,0.234,0.160242164608997,BHI_10
Oxaloacetate,2,0.2755,0.0496362770641646,BHI_10
Oxaloacetate,3,0.28025,0.204780550847707,BHI_10
Oxaloacetate,4,0.24725,0.140741063394257,BHI_10
Oxaloacetate,5,0.27975,0.119393563179877,BHI_10
Oxaloacetate,6,0.28775,0.198634049235488,BHI_10
Oxaloacetate,7,0.29225,0.0670737238115061,BHI_10
Oxaloacetate,8,0.3135,0.0368785650101533,BHI_10
Pyruvate,1,0.2195,0.186343155683076,BHI_10
Pyruvate,2,0.343,0.0720063500596412,BHI_10
Pyruvate,3,0.28275,0.11851440767983,BHI_10
Pyruvate,4,0.31325,0.0592305676465426,BHI_10
Pyruvate,5,0.31575,0.104316938109797,BHI_10
Pyruvate,6,0.27575,0.0395462987076594,BHI_10
Pyruvate,7,0.293,0.0656497749545097,BHI_10
Pyruvate,8,0.37425,0.0356073204322256,BHI_10
Rhamnose,1,0.38975,0.0444091745112087,BHI_10
Rhamnose,2,0.36475,0.079848476376755,BHI_10
Rhamnose,3,0.3605,0.0746215069712813,BHI_10
Rhamnose,4,0.34975,0.0787314928549785,BHI_10
Rhamnose,5,0.366,0.0700860947452495,BHI_10
Rhamnose,6,0.30425,0.170392463813068,BHI_10
Rhamnose,7,0.33925,0.0462560201222556,BHI_10
Rhamnose,8,0.37825,0.0314577118283349,BHI_10
Ribose,1,0.5305,0.084699875357817,BHI_10
Ribose,2,0.33,0.300056111475287,BHI_10
Ribose,3,0.3715,0.0542157966443097,BHI_10
Ribose,4,0.34375,0.038693825362868,BHI_10
Ribose,5,0.53175,0.111957882380978,BHI_10
Ribose,6,0.419,0.0996878452475018,BHI_10
Ribose,7,0.40575,0.0564300832623798,BHI_10
Ribose,8,0.43525,0.0626787954770993,BHI_10
Sorbitol,1,0.31,0.194531553089508,BHI_10
Sorbitol,2,0.48525,0.0543772274166255,BHI_10
Sorbitol,3,0.4185,0.113267697916285,BHI_10
Sorbitol,4,0.4785,0.0526905554785111,BHI_10
Sorbitol,5,0.463,0.106205536528244,BHI_10
Sorbitol,6,0.432,0.0520018223626365,BHI_10
Sorbitol,7,0.4765,0.046249414973251,BHI_10
Sorbitol,8,0.49425,0.0340716898326481,BHI_10
Succinate,1,0.21025,0.0418936512460526,BHI_10
Succinate,2,0.22525,0.0834797410447614,BHI_10
Succinate,3,0.18775,0.0492736407860734,BHI_10
Succinate,4,0.2235,0.0969655224387038,BHI_10
Succinate,5,0.217,0.0773864314458371,BHI_10
Succinate,6,0.19375,0.107801799092673,BHI_10
Succinate,7,0.2205,0.0429444375248429,BHI_10
Succinate,8,0.2305,0.0317820115341084,BHI_10
Sucrose,1,0.483,0.112489256374378,BHI_10
Sucrose,2,0.508,0.117639042603021,BHI_10
Sucrose,3,0.509,0.213420183596702,BHI_10
Sucrose,4,0.562,0.140355258312562,BHI_10
Sucrose,5,0.52875,0.108230520321423,BHI_10
Sucrose,6,0.4625,0.0859533114867561,BHI_10
Sucrose,7,0.60425,0.0868950745924168,BHI_10
Sucrose,8,0.65925,0.0219248386254823,BHI_10
ddH2O,1,0.2205,0.0460267191160645,BHI_10
ddH2O,2,0.206,0.0324432648151512,BHI_10
ddH2O,3,0.19675,0.0518947340702976,BHI_10
ddH2O,4,0.2125,0.0560112033611204,BHI_10
ddH2O,5,0.206,0.0285817503764655,BHI_10
ddH2O,6,0.215,0.0407253505009727,BHI_10
ddH2O,7,0.1975,0.106569950277717,BHI_10
ddH2O,8,0.215,0.0301429799925947,BHI_10
