Medium,CS,Donor,Richness
M9-BHI,Acetate,5,51.445
M9-BHI,Acetate,6,70.205
M9-BHI,Acetate,7,74.88
M9-BHI,Acetate,8,64.72
M9-BHI,Arabinose,1,51.205
M9-BHI,Arabinose,2,51.8
M9-BHI,Arabinose,3,54.36
M9-BHI,Arabinose,4,38.17
M9-BHI,Arabinose,5,43.155
M9-BHI,Arabinose,6,49.445
M9-BHI,Arabinose,7,48.71
M9-BHI,Arabinose,8,46.32
M9-BHI,Citrate,1,63.085
M9-BHI,Citrate,2,51.35
M9-BHI,Citrate,3,51.645
M9-BHI,Citrate,4,46.06
M9-BHI,Citrate,5,52.92
M9-BHI,Citrate,6,52.47
M9-BHI,Citrate,7,45.445
M9-BHI,Citrate,8,46.99
M9-BHI,Fructose,1,59.245
M9-BHI,Fructose,2,51.75
M9-BHI,Fructose,3,57.185
M9-BHI,Fructose,4,35.2
M9-BHI,Fructose,5,40.4
M9-BHI,Fructose,6,45.49
M9-BHI,Fructose,7,44.165
M9-BHI,Fructose,8,38.06
M9-BHI,Fucose,1,42.86
M9-BHI,Fucose,2,45.195
M9-BHI,Fucose,3,59.19
M9-BHI,Fucose,4,36.345
M9-BHI,Fucose,5,44.375
M9-BHI,Fucose,6,54.25
M9-BHI,Fucose,7,52.75
M9-BHI,Fucose,8,48.18
M9-BHI,Fumarate,1,50.75
M9-BHI,Fumarate,2,46
M9-BHI,Fumarate,3,41.18
M9-BHI,Fumarate,4,39.075
M9-BHI,Fumarate,5,43.58
M9-BHI,Fumarate,6,46.765
M9-BHI,Fumarate,7,53.165
M9-BHI,Fumarate,8,47.425
M9-BHI,Galacticol,1,40.61
M9-BHI,Galacticol,2,59.33
M9-BHI,Galacticol,3,61.51
M9-BHI,Galacticol,4,36.92
M9-BHI,Galacticol,5,44.5
M9-BHI,Galacticol,6,53.66
M9-BHI,Galacticol,7,42.545
M9-BHI,Galacticol,8,52.19
M9-BHI,Galactose,1,55.155
M9-BHI,Galactose,2,38.97
M9-BHI,Galactose,3,58.72
M9-BHI,Galactose,4,35.54
M9-BHI,Galactose,5,38.085
M9-BHI,Galactose,6,57.805
M9-BHI,Galactose,7,51.3066666666667
M9-BHI,Galactose,8,46.69
M9-BHI,Glucose,1,48.34
M9-BHI,Glucose,2,44.98
M9-BHI,Glucose,3,51.165
M9-BHI,Glucose,4,34.51
M9-BHI,Glucose,5,35.39
M9-BHI,Glucose,6,45.125
M9-BHI,Glucose,7,41.24
M9-BHI,Glucose,8,38.69
M9-BHI,Glycerol,1,40.65
M9-BHI,Glycerol,2,54.5
M9-BHI,Glycerol,3,53.59
M9-BHI,Glycerol,4,37.17
M9-BHI,Glycerol,5,48.945
M9-BHI,Glycerol,6,25.23
M9-BHI,Glycerol,7,44.3666666666667
M9-BHI,Glycerol,8,NaN
M9-BHI,Lactose,1,55.55
M9-BHI,Lactose,2,45.805
M9-BHI,Lactose,3,46.295
M9-BHI,Lactose,4,33.91
M9-BHI,Lactose,5,38.075
M9-BHI,Lactose,6,46.47
M9-BHI,Lactose,7,38.155
M9-BHI,Lactose,8,42.895
