time,growth_rate,CarbonSource
0,0.532829783335433,Lactose
0.0941666666666667,0.4724181017339,Lactose
0.188333333333333,0.407823507052004,Lactose
0.282222222222222,0.350460487607039,Lactose
0.376388888888889,0.407842399448413,Lactose
0.470555555555556,0.420630007430149,Lactose
0.564444444444444,0.618906426458379,Lactose
0.658611111111111,0.488467395117346,Lactose
0.752777777777778,0.507469380690939,Lactose
0.846944444444444,0.64580956636124,Lactose
0.940833333333333,0.778208820481561,Lactose
1.035,0.88958611421656,Lactose
1.12916666666667,1.0055731384071,Lactose
1.22305555555556,1.06510306397217,Lactose
1.31722222222222,1.11886546089263,Lactose
1.41138888888889,1.21369452888566,Lactose
1.50555555555556,1.28956356685023,Lactose
1.59972222222222,1.3842774692803,Lactose
1.69361111111111,1.42124748529971,Lactose
1.78777777777778,1.45561270414021,Lactose
1.88194444444444,1.48466190157699,Lactose
1.97611111111111,1.5021615235427,Lactose
2.07,1.49956133182702,Lactose
2.16416666666667,1.50460808915589,Lactose
2.25833333333333,1.47518268824548,Lactose
2.3525,1.47181101541932,Lactose
2.44666666666667,1.4549723700023,Lactose
2.54055555555556,1.45419740319317,Lactose
2.63472222222222,1.41848136688111,Lactose
2.72888888888889,1.35304666463648,Lactose
2.82305555555556,1.25503804992692,Lactose
2.91694444444444,1.14472603945948,Lactose
3.01111111111111,1.03429221279308,Lactose
3.10527777777778,0.933410339256285,Lactose
3.19944444444444,0.839213301119264,Lactose
3.29333333333333,0.757960629324315,Lactose
3.3875,0.699595998716347,Lactose
3.48166666666667,0.672780561625804,Lactose
3.57555555555556,0.674925654268918,Lactose
3.66972222222222,0.685453538429175,Lactose
3.76416666666667,0.688003025411236,Lactose
3.85805555555556,0.679154084360712,Lactose
3.95222222222222,0.666569696893147,Lactose
4.04638888888889,0.6516055712479,Lactose
4.14027777777778,0.636040339794224,Lactose
4.23444444444444,0.624642631029392,Lactose
4.32861111111111,0.606467901551632,Lactose
4.42277777777778,0.587548561150575,Lactose
4.51694444444444,0.567251874001273,Lactose
4.61083333333333,0.553421209397945,Lactose
4.705,0.542922798630567,Lactose
4.79916666666667,0.533094464066831,Lactose
4.89333333333333,0.520016053326313,Lactose
4.9875,0.505116652935086,Lactose
5.08138888888889,0.487876730239115,Lactose
5.17555555555556,0.467750604280629,Lactose
5.26972222222222,0.444034040281744,Lactose
5.36388888888889,0.413872073000929,Lactose
5.45805555555556,0.38011463012911,Lactose
5.55194444444444,0.344748837121383,Lactose
5.64611111111111,0.31002878392757,Lactose
5.74027777777778,0.275365796950912,Lactose
5.83416666666667,0.241245727994376,Lactose
5.92833333333333,0.205588918230709,Lactose
6.0225,0.170039523714595,Lactose
6.11666666666667,0.13726943959878,Lactose
6.21055555555556,0.108931378338436,Lactose
6.30472222222222,0.0838059241474326,Lactose
6.39888888888889,0.0605282597513557,Lactose
6.49305555555556,0.0417512394436582,Lactose
6.58722222222222,0.0278792776834796,Lactose
6.68138888888889,0.0191414732356302,Lactose
6.77555555555556,0.0156192422126263,Lactose
6.86972222222222,0.0141402198677329,Lactose
6.96388888888889,0.0141205248109835,Lactose
7.05777777777778,0.0155405725212323,Lactose
7.15194444444445,0.0173233125287139,Lactose
7.24611111111111,0.0183756102655571,Lactose
7.34027777777778,0.0196071861906974,Lactose
7.43444444444444,0.0199290946341974,Lactose
7.52861111111111,0.0202526533827403,Lactose
7.6225,0.0214635551760476,Lactose
7.71666666666667,0.0224950830752751,Lactose
7.81083333333333,0.023347172101837,Lactose
7.905,0.0220620825157258,Lactose
7.99888888888889,0.0214761192348241,Lactose
8.09305555555556,0.0216098314542501,Lactose
8.18722222222222,0.022442766805151,Lactose
8.28138888888889,0.0220516895867909,Lactose
8.37527777777778,0.0214823899114061,Lactose
8.46944444444444,0.0207354573904665,Lactose
8.56361111111111,0.0189446908940882,Lactose
8.65777777777778,0.0182158082174395,Lactose
8.75166666666667,0.0176639367404698,Lactose
8.84583333333333,0.0164192766023199,Lactose
8.94,0.0144683416198617,Lactose
9.03416666666667,0.0128813214555466,Lactose
9.12833333333333,0.0109517847945764,Lactose
9.22222222222222,0.0116302421008208,Lactose
9.31638888888889,0.0110949053650854,Lactose
9.41055555555556,0.0103913763651985,Lactose
9.50472222222222,0.0105538219068241,Lactose
9.59888888888889,0.00967783768461881,Lactose
9.69305555555556,0.00880646344262467,Lactose
9.78722222222222,0.00897253787010504,Lactose
9.88138888888889,0.00913400550082791,Lactose
9.97555555555556,0.00930010191788314,Lactose
10.0697222222222,0.00946160792787144,Lactose
10.1638888888889,0.008590584015084,Lactose
10.2580555555556,0.00961455967228562,Lactose
10.3522222222222,0.00892529198347005,Lactose
10.4463888888889,0.00840399827435335,Lactose
10.5405555555556,0.00805800142867339,Lactose
10.6347222222222,0.00788069894324517,Lactose
10.7288888888889,0.0059927259496494,Lactose
10.8230555555556,0.00444987122088242,Lactose
10.9172222222222,0.00342263901023059,Lactose
11.0113888888889,0.00205262294587073,Lactose
11.1052777777778,0.00222252412533962,Lactose
11.1994444444444,0.00119644188170317,Lactose
11.2936111111111,0.00187983341000257,Lactose
11.3877777777778,0.00136603163912653,Lactose
11.4819444444444,0.00153663907325477,Lactose
11.5761111111111,0.00153645601068475,Lactose
11.6702777777778,0.00324212258251646,Lactose
11.7644444444444,0.00375306916737902,Lactose
11.8586111111111,0.00307080253864648,Lactose
11.9527777777778,0.00221781857539312,Lactose
12.0469444444444,0.00119411727761964,Lactose
12.1411111111111,0.00187608255167732,Lactose
12.2352777777778,0.00136332783876636,Lactose
12.3294444444444,0.00153374381861199,Lactose
12.4236111111111,0.00153374381861197,Lactose
12.5177777777778,0.00136332783876641,Lactose
