Strain,Time,AA,CS,spp_short,spp_short_2,Family,Fam_col
Bacteroides fragilis,1,0.001253072,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.008566714,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.007416552,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.008347565,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001869382,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003429486,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.001743886,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001777198,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002776051,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002437029,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002495316,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.009119029,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.00281756,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.009169349,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003932997,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.003793687,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.010601159,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.008529224,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.010941959,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.00214262,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.007224319,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.009799428,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002504305,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.027711537,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.015076949,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001798818,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.006191622,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.006455624,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.010092789,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.00198438,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002256422,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002159202,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.00089156,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.00126617,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.006968525,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001535453,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001468641,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001426283,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.013007043,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002476453,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.006389696,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.005039919,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.002446946,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001236584,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001946371,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002103279,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.004508569,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.003342811,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.005466985,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.002799422,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001266139,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.00142157,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001698108,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.00154431,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001445606,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003559637,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.008973106,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.007029757,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.008131265,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.00192105,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002110022,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002753881,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002878849,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002363389,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003067289,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.009691972,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.011277593,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.019433326,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.00215202,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002122011,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002051915,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.001912396,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002178364,Fumarate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002254961,Galactitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002177887,Galactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002523017,Glucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.001914356,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002618992,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.002579964,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.005217381,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002511761,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002341982,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002208127,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.001921254,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002172391,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.002780368,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003796369,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001814323,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001507558,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.00172711,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.0087629,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.009813441,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.002830511,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.003719355,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.004370279,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.005419238,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.003584022,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.006153618,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.014061618,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.011063916,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.014326109,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.015411934,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.012756061,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.013067853,Fumarate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.010570711,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.009908216,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.009573697,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.014030081,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.009016807,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.013291243,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.01031948,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.017216622,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.011491989,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.011886262,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.0111901,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.017893758,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.016532406,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.01250123,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.016980903,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.012948892,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002186456,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.001960703,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.005793151,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.008590382,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.004690692,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002219625,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.002229429,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,1,0.001934107,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.004768014,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.010660928,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.006561887,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.010929206,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.009085041,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.010495991,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.002849964,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.009030115,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.010726493,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.017448001,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.011569576,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.010122334,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.015143593,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.009567197,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.012676232,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.010670241,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001926806,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001781263,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.002162652,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.012767057,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.024001047,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.015855924,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.014068308,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.017869369,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.014357623,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001696915,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001513313,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001793436,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.006782197,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.012213141,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.005222757,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001445109,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001723376,Fumarate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.00153782,Galactitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001659465,Galactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,0.5,0.001746642,Glucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.007616439,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.010345261,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.011968292,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.015918936,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.009649785,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.009741447,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.010793808,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.014519192,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.012794893,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.011991258,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.015699441,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,16,0.011881139,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.012293928,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.011835976,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.019987174,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.012279432,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.013344892,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.012307868,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.021850176,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.015557671,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.010919029,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.018443478,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,48,0.0149275,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.008271326,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.010793226,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.016345118,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.012166668,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.010798092,Fumarate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.006727607,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.011086628,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.00859627,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.011481171,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.007389581,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.010781437,Mannitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.010651589,Mannose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.015284241,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.010522609,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.011117671,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.010827338,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.016401952,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.01504882,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.01035144,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.018001339,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,20,0.011982859,ddH2O,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.003368501,Glucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.003486412,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,5,0.005607515,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.012354347,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.011738663,Sucrose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.014382251,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.01077484,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.010459854,Fumarate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.01359429,Galactitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.009956546,Galactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.008674906,Glucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.009221292,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,10,0.009285728,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,24,0.012235475,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.016675486,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002128128,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002756126,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002166971,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.001754165,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002128743,Fumarate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.001897605,Galactitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.001984092,Galactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002168139,Glucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.001696549,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002057217,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.004382953,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.007579213,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002181888,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.00224796,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.002199638,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.001870037,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.001822327,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,2,0.001973671,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.004222001,Galactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.00588052,Glucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.005919035,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.011309878,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.010053698,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,12,0.010194512,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.004645478,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.006610215,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.005660191,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.008460568,Sorbitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,6,0.006521863,Succinate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.003289301,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,4,0.00254119,Fumarate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.014065135,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.017060407,Citrate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.016294858,Fructose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.012866753,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.013908094,Fumarate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.025954127,Galactitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.01744888,Galactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.01439964,Glucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,8,0.009820312,Fucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.012247828,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,34,0.016290795,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.00148227,Glycerol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001683448,Lactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.008598497,Acetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.008586633,Arabinose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001633496,Melibiose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001217936,Oxaloacetate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001303831,Pyruvate,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001460252,Rhamnose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,3,0.001765892,Ribose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.009534988,Galactitol,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.005752714,Galactose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.005408738,Glucose,B. fragilis,Bf,Bacteroidaceae,tan1
Bacteroides fragilis,7,0.008538168,Maltose,B. fragilis,Bf,Bacteroidaceae,tan1
