Time_h,Mean_OD_Donor_2,Std_OD_Donor_2,Mean_OD_Donor_3,Std_OD_Donor_3,Mean_OD_Donor_4,Std_OD_Donor_4,Mean_OD_Donor_5,Std_OD_Donor_5,Mean_OD_Donor_6,Std_OD_Donor_6,Mean_OD_Donor_7,Std_OD_Donor_7,Mean_OD_Donor_8,Std_OD_Donor_8
0,0.004,0.003,0.00333333333333334,0.0030550504633039,0.00366666666666667,0.000577350269189626,0.00133333333333333,0.00251661147842359,0.001,0.002,0.001,0.00173205080756888,0.005,0.003
0.108888888888889,0.004,0.002,0.0116666666666667,0.00251661147842358,0.00366666666666667,0.00152752523165195,0.003,0.002,0.00700000000000001,0.004,0.00933333333333334,0.00650640709864771,0.00700000000000001,0.001
0.217777777777778,0.00333333333333334,0.00208166599946613,0.00666666666666667,0.00416333199893227,0.002,0.00173205080756888,0.00133333333333333,0.000577350269189626,0.00600000000000001,0.00458257569495584,0.00666666666666667,0.00351188458428425,0.00600000000000001,0.005
0.326666666666667,0.00166666666666667,0.00251661147842359,0.000666666666666667,0.000577350269189626,0.002,0.001,0.000333333333333334,0.00115470053837925,0.000666666666666667,0.00208166599946613,0.00266666666666667,0.00152752523165195,0.00433333333333334,0.00351188458428425
0.435555555555556,0.002,0.002,0.000333333333333334,0.00115470053837925,0.00233333333333334,0.00115470053837925,0.001,0.001,-0.000666666666666667,0.000577350269189626,0.00166666666666667,0.000577350269189626,0.00433333333333334,0.00251661147842359
0.544444444444445,0.00266666666666667,0.00251661147842359,0.000666666666666667,0.00152752523165195,0.003,0.00173205080756888,0.00133333333333333,0.00115470053837925,-0.000333333333333334,0.000577350269189626,0.00233333333333334,0.000577350269189626,0.00533333333333334,0.00251661147842359
0.653333333333333,0.00366666666666667,0.00251661147842359,0.001,0.001,0.004,0.00173205080756888,0.002,0.001,0,0,0.00333333333333334,0.000577350269189626,0.00666666666666667,0.00208166599946613
0.762222222222222,0.005,0.002,0.002,0.001,0.00533333333333334,0.00115470053837925,0.003,0.001,0.001,0,0.00433333333333334,0.000577350269189626,0.00866666666666667,0.00208166599946613
0.871111111111111,0.00633333333333334,0.00251661147842359,0.00266666666666667,0.00152752523165195,0.00700000000000001,0.001,0.00433333333333334,0.00115470053837925,0.00166666666666667,0.000577350269189626,0.00600000000000001,0.001,0.0103333333333333,0.00152752523165195
0.98,0.00833333333333334,0.00251661147842359,0.004,0.001,0.00933333333333334,0.00115470053837925,0.00633333333333334,0.00152752523165195,0.00366666666666667,0.000577350269189626,0.00866666666666667,0.000577350269189626,0.013,0.00173205080756887
1.08861111111111,0.011,0.003,0.00533333333333334,0.00152752523165195,0.0116666666666667,0.000577350269189626,0.00800000000000001,0.002,0.00533333333333334,0.000577350269189626,0.0106666666666667,0.000577350269189626,0.0156666666666667,0.00115470053837925
1.1975,0.0133333333333333,0.00251661147842358,0.00700000000000001,0.001,0.0143333333333333,0.000577350269189626,0.00966666666666668,0.00152752523165195,0.00700000000000001,0.001,0.013,0.000999999999999994,0.018,0.00173205080756888
1.30638888888889,0.0166666666666667,0.0030550504633039,0.00966666666666668,0.00115470053837925,0.0176666666666667,0.000577350269189626,0.013,0.00173205080756887,0.0106666666666667,0.00115470053837925,0.0166666666666667,0.00152752523165195,0.0213333333333333,0.00152752523165195
1.41527777777778,0.0196666666666667,0.0030550504633039,0.0116666666666667,0.00115470053837925,0.0203333333333333,0.000577350269189626,0.0153333333333333,0.00208166599946613,0.013,0.000999999999999994,0.019,0.001,0.0246666666666667,0.00152752523165195
1.52416666666667,0.0256666666666667,0.0030550504633039,0.0146666666666667,0.00115470053837925,0.0253333333333333,0.000577350269189626,0.019,0.002,0.0166666666666667,0.00115470053837925,0.023,0.001,0.0303333333333333,0.00152752523165194
1.63305555555556,0.031,0.00360555127546399,0.017,0.001,0.0303333333333333,0.000577350269189626,0.0233333333333333,0.00208166599946613,0.021,0.00173205080756888,0.028,0.00173205080756887,0.0363333333333333,0.00208166599946613
1.74194444444444,0.039,0.00435889894354068,0.021,0.002,0.0376666666666667,0.000577350269189626,0.0296666666666667,0.00251661147842358,0.026,0.00173205080756888,0.034,0.00264575131106459,0.0436666666666667,0.0023094010767585
1.85055555555556,0.0473333333333333,0.00416333199893227,0.0256666666666667,0.00152752523165195,0.0446666666666667,0.000577350269189626,0.0353333333333333,0.0030550504633039,0.0316666666666667,0.00208166599946613,0.0406666666666667,0.00288675134594813,0.0516666666666667,0.00230940107675849
1.95944444444444,0.0556666666666667,0.0030550504633039,0.0313333333333333,0.00208166599946613,0.0536666666666667,0.000577350269189626,0.0443333333333333,0.0030550504633039,0.0393333333333333,0.00321455025366432,0.0496666666666667,0.00288675134594812,0.0606666666666667,0.0023094010767585
2.06833333333333,0.062,0.00360555127546399,0.0383333333333333,0.00208166599946613,0.0606666666666667,0.000577350269189626,0.052,0.00264575131106458,0.0466666666666667,0.00208166599946613,0.0596666666666667,0.00378593889720019,0.067,0.00173205080756888
2.17722222222222,0.0686666666666667,0.00378593889720019,0.046,0.00264575131106459,0.0666666666666667,0.000577350269189626,0.058,0.00264575131106459,0.0496666666666667,0.00208166599946613,0.069,0.00435889894354068,0.073,0.00264575131106459
2.28611111111111,0.079,0.00435889894354066,0.0523333333333333,0.00208166599946612,0.0736666666666667,0.000577350269189626,0.0663333333333333,0.0030550504633039,0.054,0.00264575131106458,0.0776666666666667,0.00208166599946613,0.0803333333333334,0.00208166599946613
