CS,Donor,OD,CV,BaseMedia
Rhamnose,1,NaN,NaN,M9
Rhamnose,2,0.118,0.0410935840181259,M9
Rhamnose,3,0.0385,0.0859916782246879,M9
Rhamnose,4,0.1035,0.0411365105645122,M9
Rhamnose,5,0.1125,0.0103440953475415,M9
Rhamnose,6,0.0875,0.00869597801500277,M9
Rhamnose,7,0.103,0.0191031413365007,M9
Rhamnose,8,0.0695,0.211615963102834,M9
Ribose,1,NaN,NaN,M9
Ribose,2,0.11025,0.0900421626913554,M9
Ribose,3,0.05925,0.0132555286699813,M9
Ribose,4,0.10875,0.0322524477470305,M9
Ribose,5,0.1205,0.0199908712980435,M9
Ribose,6,0.09025,0.0747230176823545,M9
Ribose,7,0.079,0.0236393420742463,M9
Ribose,8,0.0615,0.0938056549688391,M9
Sorbitol,1,NaN,NaN,M9
Sorbitol,2,0.1595,0.0851101854985228,M9
Sorbitol,3,0.0885,0.0599597604743636,M9
Sorbitol,4,0.12725,0.0409661353895771,M9
Sorbitol,5,0.19475,0.0265330766182439,M9
Sorbitol,6,0.1535,0.0573432785979822,M9
Sorbitol,7,0.1355,0.00499575266075048,M9
Sorbitol,8,0.1355,0.0470889901998615,M9
Succinate,1,NaN,NaN,M9
Succinate,2,0.002,0.00443951165371809,M9
Succinate,3,NaN,NaN,M9
Succinate,4,0.001,0.0036532285500122,M9
Succinate,5,0.0005,0.0026606003188462,M9
Succinate,6,0.0025,0.00893961707132325,M9
Succinate,7,0.0005,0.00320683347476893,M9
Succinate,8,0.001,0,M9
Sucrose,1,NaN,NaN,M9
Sucrose,2,0.13675,0.0823072432958643,M9
Sucrose,3,0.00475,0.00608191736116788,M9
Sucrose,4,0.077,0.0984936121216943,M9
Sucrose,5,0.21,0.0475453620424644,M9
Sucrose,6,0.10425,0.141346269696608,M9
Sucrose,7,0.03425,0.0752029030144632,M9
Sucrose,8,0.1035,0.176068642749971,M9
ddH2O,1,NaN,NaN,M9
ddH2O,2,0.00166666666666667,0.00280267120965838,M9
ddH2O,3,0.00166666666666667,0.0029344359298075,M9
ddH2O,4,0.001,0.0038423368514246,M9
ddH2O,5,0.00025,0.00242718446601942,M9
ddH2O,6,0.0025,0.0144610527954865,M9
ddH2O,7,0.001,0.00716057499935745,M9
ddH2O,8,0.0015,0.00600462534295724,M9
