CS,Donor,PCoA_data_noX1_1,PCoA_data_noX1_2,OD,BaseMedia
Sucrose,6,0.027207911985627,0.152185809664137,0.4625,BHI_10
Sucrose,7,-0.0205324032310191,0.0609576067504021,0.60425,BHI_10
Sucrose,8,-0.0212974358252808,0.262635499941812,0.65925,BHI_10
ddH2O,2,0.074690528998308,-0.0425868792038354,0.206,BHI_10
ddH2O,3,0.132105094552485,-0.0518654294409079,0.19675,BHI_10
ddH2O,4,0.146693449935874,-0.0551900663909178,0.2125,BHI_10
ddH2O,5,0.116933393583261,-0.071898134823102,0.206,BHI_10
ddH2O,6,0.0791396037973296,-0.0644810007980708,0.215,BHI_10
ddH2O,7,0.146171959306907,-0.103116282246777,0.1975,BHI_10
ddH2O,8,0.180601370391376,-0.0570751976543999,0.215,BHI_10
