time,OD,CarbonSource
0,0.0035,Lactose
0.0941666666666667,-0.0005,Lactose
0.188333333333333,0.001,Lactose
0.282222222222222,0.0015,Lactose
0.376388888888889,0.0015,Lactose
0.470555555555556,0.0015,Lactose
0.564444444444444,0.0015,Lactose
0.658611111111111,0.0015,Lactose
0.752777777777778,0.002,Lactose
0.846944444444444,0.003,Lactose
0.940833333333333,0.003,Lactose
1.035,0.0035,Lactose
1.12916666666667,0.004,Lactose
1.22305555555556,0.005,Lactose
1.31722222222222,0.00600000000000001,Lactose
1.41138888888889,0.00750000000000001,Lactose
1.50555555555556,0.00850000000000001,Lactose
1.59972222222222,0.0105,Lactose
1.69361111111111,0.0115,Lactose
1.78777777777778,0.0145,Lactose
1.88194444444444,0.0165,Lactose
1.97611111111111,0.0205,Lactose
2.07,0.0235,Lactose
2.16416666666667,0.0275,Lactose
2.25833333333333,0.032,Lactose
2.3525,0.0365,Lactose
2.44666666666667,0.0425,Lactose
2.54055555555556,0.0495,Lactose
2.63472222222222,0.057,Lactose
2.72888888888889,0.066,Lactose
2.82305555555556,0.0765,Lactose
2.91694444444444,0.088,Lactose
3.01111111111111,0.098,Lactose
3.10527777777778,0.105,Lactose
3.19944444444444,0.111,Lactose
3.29333333333333,0.1175,Lactose
3.3875,0.125,Lactose
3.48166666666667,0.135,Lactose
3.57555555555556,0.145,Lactose
3.66972222222222,0.155,Lactose
3.76416666666667,0.1645,Lactose
3.85805555555556,0.176,Lactose
3.95222222222222,0.188,Lactose
4.04638888888889,0.202,Lactose
4.14027777777778,0.2165,Lactose
4.23444444444444,0.2305,Lactose
4.32861111111111,0.2425,Lactose
4.42277777777778,0.257,Lactose
4.51694444444444,0.2715,Lactose
4.61083333333333,0.2855,Lactose
4.705,0.301,Lactose
4.79916666666667,0.3165,Lactose
4.89333333333333,0.3325,Lactose
4.9875,0.35,Lactose
5.08138888888889,0.367,Lactose
5.17555555555556,0.385,Lactose
5.26972222222222,0.403,Lactose
5.36388888888889,0.4195,Lactose
5.45805555555556,0.435,Lactose
5.55194444444444,0.4515,Lactose
5.64611111111111,0.4655,Lactose
5.74027777777778,0.4795,Lactose
5.83416666666667,0.49,Lactose
5.92833333333333,0.5015,Lactose
6.0225,0.5125,Lactose
6.11666666666667,0.521,Lactose
6.21055555555556,0.5265,Lactose
6.30472222222222,0.5315,Lactose
6.39888888888889,0.535,Lactose
6.49305555555556,0.5375,Lactose
6.58722222222222,0.539,Lactose
6.68138888888889,0.54,Lactose
6.77555555555556,0.5415,Lactose
6.86972222222222,0.5425,Lactose
6.96388888888889,0.543,Lactose
7.05777777777778,0.5445,Lactose
7.15194444444445,0.5455,Lactose
7.24611111111111,0.5465,Lactose
7.34027777777778,0.5485,Lactose
7.43444444444444,0.5495,Lactose
7.52861111111111,0.551,Lactose
7.6225,0.552,Lactose
7.71666666666667,0.554,Lactose
7.81083333333333,0.555,Lactose
7.905,0.556,Lactose
7.99888888888889,0.5575,Lactose
8.09305555555556,0.5585,Lactose
8.18722222222222,0.5595,Lactose
8.28138888888889,0.56,Lactose
8.37527777777778,0.5615,Lactose
8.46944444444444,0.5625,Lactose
8.56361111111111,0.563,Lactose
8.65777777777778,0.564,Lactose
8.75166666666667,0.565,Lactose
8.84583333333333,0.5655,Lactose
8.94,0.566,Lactose
9.03416666666667,0.566,Lactose
9.12833333333333,0.5675,Lactose
