Family,CS,OD,Abs_Abundance,Type
Rikenellaceae,Succinate,0.2025,0.000970422230132936,hmSIC
Rikenellaceae,Sucrose,0.378,0.000252375282444693,hmSIC
Rikenellaceae,ddH2O,0.2215,0.000407163166561167,hmSIC
Enterococcaceae,Acetate,0.188,0.025727770066194,hmSIC
Enterococcaceae,Citrate,0.3175,0.140599901274262,hmSIC
Enterococcaceae,Fructose,0.385,0.0622063374560409,hmSIC
Enterococcaceae,Glucose,0.403,0.111215057667593,hmSIC
Enterococcaceae,Ribose,0.455,0.221890298376613,hmSIC
Enterococcaceae,Fucose,0.4085,0.00452466013848638,hmSIC
Enterococcaceae,Fumarate,0.3395,0.0972839002434718,hmSIC
Enterococcaceae,Galacticol,0.243,0.0152422723475355,hmSIC
Enterococcaceae,Galactose,0.3795,0.0110099187389151,hmSIC
Enterococcaceae,Glycerol,0.3365,0.00958766899244645,hmSIC
Enterococcaceae,Arabinose,0.4735,0.00344086035821746,hmSIC
Enterococcaceae,Lactose,0.4635,0.0163571627583817,hmSIC
Enterococcaceae,Maltose,0.4495,0.182162338179002,hmSIC
Enterococcaceae,Mannitol,0.4315,0.0698999123812268,hmSIC
Enterococcaceae,Mannose,0.4355,0.0996765304232201,hmSIC
Enterococcaceae,Melibiose,0.398,0.0123051662697681,hmSIC
Enterococcaceae,Oxaloacetate,0.3015,0.040286150814034,hmSIC
Enterococcaceae,Arabinose,0.3305,0.0278799759027752,hmSIC
Enterococcaceae,Rhamnose,0.3395,0.00474211597691685,hmSIC
Enterococcaceae,Sorbitol,0.4245,0.106869508119353,hmSIC
Enterococcaceae,Succinate,0.2025,0.0134973800000135,hmSIC
Enterococcaceae,Sucrose,0.378,0.145105541169279,hmSIC
Enterococcaceae,ddH2O,0.2215,0.0159097927423844,hmSIC
Lachnospiraceae,Acetate,0.188,0.0137078581004637,hmSIC
Lachnospiraceae,Citrate,0.3175,0.0243339668329949,hmSIC
Lachnospiraceae,Fructose,0.385,0.0219831565053555,hmSIC
Lachnospiraceae,Glucose,0.403,0.0219445344109292,hmSIC
Lachnospiraceae,Ribose,0.455,0.0176671194190291,hmSIC
Lachnospiraceae,Fucose,0.4085,0.0232885849001292,hmSIC
Lachnospiraceae,Fumarate,0.3395,0.0212875754516479,hmSIC
Lachnospiraceae,Galacticol,0.243,0.0400549698795181,hmSIC
Lachnospiraceae,Galactose,0.3795,0.0272039187403688,hmSIC
Lachnospiraceae,Glycerol,0.3365,0.0760853543732693,hmSIC
Lachnospiraceae,Arabinose,0.4735,0.0345011276753595,hmSIC
Lachnospiraceae,Lactose,0.4635,0.0262496984230151,hmSIC
Lachnospiraceae,Maltose,0.4495,0.0172783950644376,hmSIC
Lachnospiraceae,Mannitol,0.4315,0.0196021729544106,hmSIC
Lachnospiraceae,Mannose,0.4355,0.0212363410535697,hmSIC
Lachnospiraceae,Melibiose,0.398,0.0400664810200164,hmSIC
Lachnospiraceae,Oxaloacetate,0.3015,0.0210699397040964,hmSIC
Lachnospiraceae,Arabinose,0.3305,0.0293072397974991,hmSIC
Lachnospiraceae,Rhamnose,0.3395,0.0293881679105841,hmSIC
Lachnospiraceae,Sorbitol,0.4245,0.0209329351210277,hmSIC
Lachnospiraceae,Succinate,0.2025,0.0328650812117717,hmSIC
Lachnospiraceae,Sucrose,0.378,0.0297164731179894,hmSIC
Lachnospiraceae,ddH2O,0.2215,0.0290027433475977,hmSIC
Ruminococcaceae,Acetate,0.188,0.00984847670748176,hmSIC
Ruminococcaceae,Citrate,0.3175,0.00513214258077005,hmSIC
Ruminococcaceae,Fructose,0.385,0.00721986076777182,hmSIC
Ruminococcaceae,Glucose,0.403,0.00558683580700005,hmSIC
Ruminococcaceae,Ribose,0.455,0.00449582102997848,hmSIC
Ruminococcaceae,Fucose,0.4085,0.0222135929867689,hmSIC
Ruminococcaceae,Fumarate,0.3395,0.0124328450187257,hmSIC
Ruminococcaceae,Galacticol,0.243,0.00948355923694779,hmSIC
Ruminococcaceae,Galactose,0.3795,0.0109031883061611,hmSIC
Ruminococcaceae,Glycerol,0.3365,0.00631482168851096,hmSIC
Ruminococcaceae,Arabinose,0.4735,0.0205534161407961,hmSIC
Ruminococcaceae,Lactose,0.4635,0.0199318405468311,hmSIC
Ruminococcaceae,Maltose,0.4495,0.00404568423578224,hmSIC
Ruminococcaceae,Mannitol,0.4315,0.0116220310908455,hmSIC
Ruminococcaceae,Mannose,0.4355,0.0070334059400118,hmSIC
Ruminococcaceae,Melibiose,0.398,0.0180644500042826,hmSIC
Ruminococcaceae,Oxaloacetate,0.3015,0.00931548543373996,hmSIC
Ruminococcaceae,Arabinose,0.3305,0.013346292487959,hmSIC
Ruminococcaceae,Rhamnose,0.3395,0.0181121814201702,hmSIC
Ruminococcaceae,Sorbitol,0.4245,0.00880849139819879,hmSIC
Ruminococcaceae,Succinate,0.2025,0.008355312728381,hmSIC
Ruminococcaceae,Sucrose,0.378,0.00380446528203474,hmSIC
Ruminococcaceae,ddH2O,0.2215,0.00872783293852624,hmSIC
Erysipelotrichaceae,Acetate,0.188,0.000293686261073706,hmSIC
Erysipelotrichaceae,Citrate,0.3175,0.000306286251942324,hmSIC
Erysipelotrichaceae,Fructose,0.385,0.000242426745790329,hmSIC
Erysipelotrichaceae,Glucose,0.403,0.00010302682980924,hmSIC
Erysipelotrichaceae,Ribose,0.455,4.92926613616269e-05,hmSIC
Erysipelotrichaceae,Fucose,0.4085,0.00030729946649589,hmSIC
Erysipelotrichaceae,Fumarate,0.3395,0.000158866910898109,hmSIC
Erysipelotrichaceae,Galacticol,0.243,0.000322194374825954,hmSIC
Erysipelotrichaceae,Galactose,0.3795,0.000446941779037313,hmSIC
Erysipelotrichaceae,Glycerol,0.3365,0.000597899765280785,hmSIC
Erysipelotrichaceae,Arabinose,0.4735,0.000761829652996845,hmSIC
Erysipelotrichaceae,Lactose,0.4635,0.000164717568970967,hmSIC
Erysipelotrichaceae,Maltose,0.4495,0.000159832827333621,hmSIC
Erysipelotrichaceae,Mannitol,0.4315,0.000194346690884323,hmSIC
Erysipelotrichaceae,Mannose,0.4355,0.000550241673375209,hmSIC
Erysipelotrichaceae,Melibiose,0.398,0.000168600348891043,hmSIC
Erysipelotrichaceae,Oxaloacetate,0.3015,0.000212180427019082,hmSIC
Erysipelotrichaceae,Arabinose,0.3305,0.000183870798434926,hmSIC
Erysipelotrichaceae,Rhamnose,0.3395,0.000419597337494571,hmSIC
Erysipelotrichaceae,Sorbitol,0.4245,0.000251374280269059,hmSIC
Erysipelotrichaceae,Succinate,0.2025,0.000514961550528723,hmSIC
Erysipelotrichaceae,Sucrose,0.378,7.56132171092641e-05,hmSIC
Erysipelotrichaceae,ddH2O,0.2215,0.000447712519703608,hmSIC
Alcaligenaceae,Acetate,0.188,0.00219436694566228,hmSIC
Alcaligenaceae,Citrate,0.3175,0.00958220705760432,hmSIC
Alcaligenaceae,Fructose,0.385,0.00345056349881702,hmSIC
Alcaligenaceae,Glucose,0.403,0.00364475966455257,hmSIC
Alcaligenaceae,Ribose,0.455,0.00180314423702517,hmSIC
Alcaligenaceae,Fucose,0.4085,0.00392209224322161,hmSIC
Alcaligenaceae,Fumarate,0.3395,0.00449413228417172,hmSIC
Alcaligenaceae,Galacticol,0.243,0.0043609437751004,hmSIC
Alcaligenaceae,Galactose,0.3795,0.0032266477672682,hmSIC
Alcaligenaceae,Glycerol,0.3365,0.000805248465796451,hmSIC
Alcaligenaceae,Arabinose,0.4735,0.00415236320261965,hmSIC
Alcaligenaceae,Lactose,0.4635,0.00349012660708739,hmSIC
Alcaligenaceae,Maltose,0.4495,0.00149482312167545,hmSIC
Alcaligenaceae,Mannitol,0.4315,0.00264746114139162,hmSIC
Alcaligenaceae,Mannose,0.4355,0.00227742577197723,hmSIC
Alcaligenaceae,Melibiose,0.398,0.000816464885593939,hmSIC
Alcaligenaceae,Oxaloacetate,0.3015,0.00224809379623097,hmSIC
Alcaligenaceae,Arabinose,0.3305,0.00329848415818169,hmSIC
Alcaligenaceae,Rhamnose,0.3395,0.00265707189043714,hmSIC
Alcaligenaceae,Sorbitol,0.4245,0.00284019788946189,hmSIC
Alcaligenaceae,Succinate,0.2025,0.0029308970507082,hmSIC
Alcaligenaceae,Sucrose,0.378,0.00209218230194467,hmSIC
Alcaligenaceae,ddH2O,0.2215,0.0036797671615722,hmSIC
Desulfovibrionaceae,Acetate,0.188,0.00381394652778699,hmSIC
Desulfovibrionaceae,Citrate,0.3175,0.000918022579762068,hmSIC
Desulfovibrionaceae,Fructose,0.385,0.000930713060875418,hmSIC
Desulfovibrionaceae,Glucose,0.403,0.000839087634584104,hmSIC
Desulfovibrionaceae,Ribose,0.455,0.000622973638794776,hmSIC
Desulfovibrionaceae,Fucose,0.4085,0.00132270612116168,hmSIC
Desulfovibrionaceae,Fumarate,0.3395,0.00152136394518446,hmSIC
Desulfovibrionaceae,Galacticol,0.243,0.00646674196787149,hmSIC
Desulfovibrionaceae,Galactose,0.3795,0.000469327611564456,hmSIC
Desulfovibrionaceae,Glycerol,0.3365,0.00354378755342346,hmSIC
Desulfovibrionaceae,Arabinose,0.4735,0.000628302881540474,hmSIC
Desulfovibrionaceae,Lactose,0.4635,0.000696586953446943,hmSIC
Desulfovibrionaceae,Maltose,0.4495,0.000647650542795486,hmSIC
Desulfovibrionaceae,Mannitol,0.4315,0.000994242220753381,hmSIC
Desulfovibrionaceae,Mannose,0.4355,0.000611479624007164,hmSIC
Desulfovibrionaceae,Melibiose,0.398,NaN,hmSIC
Desulfovibrionaceae,Oxaloacetate,0.3015,0.00283898267688088,hmSIC
Desulfovibrionaceae,Arabinose,0.3305,0.001185469514533,hmSIC
Desulfovibrionaceae,Rhamnose,0.3395,0.000902039509958018,hmSIC
Desulfovibrionaceae,Sorbitol,0.4245,0.000418272786599956,hmSIC
Desulfovibrionaceae,Succinate,0.2025,0.00201917124592491,hmSIC
Desulfovibrionaceae,Sucrose,0.378,0.00146836188884949,hmSIC
Desulfovibrionaceae,ddH2O,0.2215,0.00279483118185758,hmSIC
Enterobacteriaceae,Acetate,0.188,0.0787754493107513,hmSIC
Enterobacteriaceae,Citrate,0.3175,0.102645667984639,hmSIC
Enterobacteriaceae,Fructose,0.385,0.242512214570852,hmSIC
Enterobacteriaceae,Glucose,0.403,0.220111615961801,hmSIC
Enterobacteriaceae,Ribose,0.455,0.158131213194201,hmSIC
Enterobacteriaceae,Fucose,0.4085,0.301829573047974,hmSIC
Enterobacteriaceae,Fumarate,0.3395,0.174428114250953,hmSIC
Enterobacteriaceae,Galacticol,0.243,0.115945945945946,hmSIC
Enterobacteriaceae,Galactose,0.3795,0.270798473569289,hmSIC
Enterobacteriaceae,Glycerol,0.3365,0.17772183815445,hmSIC
Enterobacteriaceae,Arabinose,0.4735,0.368667208596359,hmSIC
Enterobacteriaceae,Lactose,0.4635,0.351257978957321,hmSIC
Enterobacteriaceae,Maltose,0.4495,0.205842466523,hmSIC
Enterobacteriaceae,Mannitol,0.4315,0.301191742863404,hmSIC
Enterobacteriaceae,Mannose,0.4355,0.26383327412243,hmSIC
Enterobacteriaceae,Melibiose,0.398,0.281752109121957,hmSIC
Enterobacteriaceae,Oxaloacetate,0.3015,0.177390387688329,hmSIC
Enterobacteriaceae,Arabinose,0.3305,0.205264832382433,hmSIC
Enterobacteriaceae,Rhamnose,0.3395,0.237733137472984,hmSIC
Enterobacteriaceae,Sorbitol,0.4245,0.26910925661862,hmSIC
Enterobacteriaceae,Succinate,0.2025,0.0819825634159483,hmSIC
Enterobacteriaceae,Sucrose,0.378,0.142506599763711,hmSIC
Enterobacteriaceae,ddH2O,0.2215,0.0999542132559593,hmSIC
Enteros,Acetate,0.188,0.104503219376945,hmSIC
Enteros,Citrate,0.3175,0.243245569258901,hmSIC
Enteros,Fructose,0.385,0.304718552026893,hmSIC
Enteros,Glucose,0.403,0.331326673629394,hmSIC
Enteros,Ribose,0.455,0.380021511570814,hmSIC
Enteros,Fucose,0.4085,0.306354233186461,hmSIC
Enteros,Fumarate,0.3395,0.271712014494424,hmSIC
Enteros,Galacticol,0.243,0.131188218293481,hmSIC
Enteros,Galactose,0.3795,0.281808392308204,hmSIC
Enteros,Glycerol,0.3365,0.187309507146897,hmSIC
Enteros,Arabinose,0.4735,0.372108068954577,hmSIC
Enteros,Lactose,0.4635,0.367615141715703,hmSIC
Enteros,Maltose,0.4495,0.388004804702003,hmSIC
Enteros,Mannitol,0.4315,0.371091655244631,hmSIC
Enteros,Mannose,0.4355,0.36350980454565,hmSIC
Enteros,Melibiose,0.398,0.294057275391725,hmSIC
Enteros,Oxaloacetate,0.3015,0.217676538502363,hmSIC
Enteros,Arabinose,0.3305,0.233144808285208,hmSIC
Enteros,Rhamnose,0.3395,0.242475253449901,hmSIC
Enteros,Sorbitol,0.4245,0.375978764737973,hmSIC
Enteros,Succinate,0.2025,0.0954799434159617,hmSIC
Enteros,Sucrose,0.378,0.28761214093299,hmSIC
Enteros,ddH2O,0.2215,0.115864005998344,hmSIC
