Donor,Passage,Bifidobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Enterococcaceae,Streptococcaceae,Unassigned Clostridiales,Lachnospiraceae,Peptostreptococcaceae,Ruminococcaceae,Veillonellaceae,Alcaligenaceae,Enterobacteriaceae
1,0,0.00545107159644,0.0611765280398,0.0072274006385,0.781059815286,0.00109265600869,6.71464586347e-05,0,0.0173604116688,0.0667313714359,0,0.035618144194,0.00215479089982,0.0099681969955,6.10422351225e-05
1,1,0.00324510644552,0.245898608959333,0.0257358972459667,0.034018429794,0.000305082677405667,0.000130852372353667,0,0.00900653332631,0.354290337085333,0.000138923619794,0.0674547040727,0.00754866728335667,0.0948968445034667,0.151072139103333
1,2,0,0.0877739626462333,0.00492748033637,0.000254307330408667,0.000211922775340667,0.000202784098039667,0,0.000496541525240667,0.228453471754333,0.00519441567374667,0.0170565325726,0.00308907806051667,0.0249569913032,0.623150824844667
1,3,0,0.125674333272,0.00321056699806667,0,0,0,0.00358525898193,0.000269330609481667,0.159646687566667,0.0261089299058667,0.0101999863042767,0.00782839445690333,0.0227659428700333,0.631766294405
1,4,0,0.172645081792333,0.00294680034974667,0.000679900503941667,0,0.000198841249817,0.00845063359528333,0.000877534734163333,0.161526254149333,0.0171732518039,0.0102638929279867,0.00569690951066333,0.0275652047029333,0.579660505901333
1,5,0,0.167670671159,0.00243473453460333,0.00205952128021333,0,0,0.00587617169188333,0,0.181997420802,0.00957022122001667,0.0072191276407,0.00262077414928,0.0229121349541,0.585376229033333
1,6,0,0.190939028485667,0.00721839032563,0.00295166503725667,0,0,0.00633202805625333,0,0.182312589315667,0.0171143686555667,0.0166048512817667,0.00307397657496,0.0346314968329667,0.530993286283667
1,7,0,0.189360292018333,0.00273023055142267,0.00532059898019333,0,0,0.0129508876424967,0,0.198162104299667,0.0200468132691667,0.0217336423340667,0.00672507791082,0.0402205691444667,0.488708080567333
1,8,0,0.177759241725,0.00437550289160333,0.00523425772573333,0,0,0.0116999135373433,0,0.212412348974333,0.0256431070058,0.0175333607991,0.01073667882175,0.0395881895874,0.475754153396333
2,0,0.000675918758926,0.115353167552,0.0240714293501,0.195591265385,0.225233573539,0.000119921070132,0.00124281836319,0.0271566714272,0.0848278042452,0,0.126941903692,0.0163201674534,0.00279089035944,0.134191677478
2,1,0,0.0834474806941,0.0215285285124667,0,0.00143823935882667,0.00280024083553,0.000159828298742,0.00931700481256333,0.173225206773333,0,0.0630308469898,0.0328414033654667,0.00715059026143667,0.580330703069333
2,2,0,0.0963610676774,0.01002299920089,0,0,0.0157221205165333,0,0.00328676176054333,0.0473899363289333,0,0.00924546525992333,0.1433937993,0.00832101574887,0.661375873105333
2,3,0,0.0948865048083,0.00676973344293,0,0.000552599124939,0.0498200133638667,0,0.00132783231374667,0.0304706645776,0,0.00720343354548333,0.264780051018333,0.00972242768128,0.528696431973667
2,4,0,0.1117603456297,0.0136263239464,0,0.000636557234180333,0.0332046354764667,0,0,0.0325792485799333,0,0.00726152358028,0.243200078225,0.0163223908558333,0.534698474320333
2,5,0,0.110473706547333,0.0147588466198,0,0.000425968857791,0.0218661059344333,0,0,0.03182674233,0,0.00525621983483,0.286028336994,0.0137123482619,0.509565529340667
2,6,0,0.149332243404,0.0229914567721333,0,0.000662341186425333,0.0733477629440333,0,0,0.0439354298732667,0,0.0167035553969,0.257337682273667,0.0220001714485667,0.396288508294
