"time","Alignment.ID","Metabolite.name","value","rep","species","polarity","met.id","met.id.pol","BHI_val","value.norm","value.norm.mean"
48,1022,"L-ASPARTATE",202394864,0,"Bu","neg","L-ASPARTATE_1022","L-ASPARTATE_1022_Hilic-neg",237162224,0.853402619240901,0.869432592046637
48,2547,"Glucose",13311015,1,"Bu","neg","Glucose_2547","Glucose_2547_Hilic-neg",13346900,0.997311285968181,0.873889279159783
48,732,"L-Threonine",280626272,1,"Bu","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",398576576,0.704071157698763,0.71919650684101
48,3977,"D-Fructose",56978456,1,"Bu","neg","D-Fructose_3977","D-Fructose_3977_Hilic-neg",53151080,1.07200935386432,1.02771747045878
48,1022,"L-ASPARTATE",197165376,1,"Bu","neg","L-ASPARTATE_1022","L-ASPARTATE_1022_Hilic-neg",215068320,0.916756940693279,0.869432592046637
48,2547,"Glucose",13449499,2,"Bu","neg","Glucose_2547","Glucose_2547_Hilic-neg",13826793,0.97271276334919,0.873889279159783
48,732,"L-Threonine",293108064,2,"Bu","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",394076736,0.743784234084338,0.71919650684101
48,3977,"D-Fructose",55170044,2,"Bu","neg","D-Fructose_3977","D-Fructose_3977_Hilic-neg",56751084,0.97214077933488,1.02771747045878
48,1022,"L-ASPARTATE",204820128,2,"Bu","neg","L-ASPARTATE_1022","L-ASPARTATE_1022_Hilic-neg",244375120,0.838138216205732,0.869432592046637
48,2547,"Glucose",21811680,0,"Pd","neg","Glucose_2547","Glucose_2547_Hilic-neg",13449086,1.62179633457647,1.61602908000748
48,732,"L-Threonine",373149152,0,"Pd","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",386119168,0.966409290081115,1.02296363216746
48,3977,"D-Fructose",82219840,0,"Pd","neg","D-Fructose_3977","D-Fructose_3977_Hilic-neg",53420340,1.53911110376476,1.47124679931535
48,1022,"L-ASPARTATE",226757840,0,"Pd","neg","L-ASPARTATE_1022","L-ASPARTATE_1022_Hilic-neg",237162224,0.956129670313221,0.983860326339762
48,2547,"Glucose",22040250,1,"Pd","neg","Glucose_2547","Glucose_2547_Hilic-neg",13346900,1.65133838933847,1.61602908000748
48,732,"L-Threonine",417729920,1,"Pd","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",398576576,1.04805436170927,1.02296363216746
48,3977,"D-Fructose",78210480,1,"Pd","neg","D-Fructose_3977","D-Fructose_3977_Hilic-neg",53151080,1.47147486990904,1.47124679931535
48,1022,"L-ASPARTATE",221447536,1,"Pd","neg","L-ASPARTATE_1022","L-ASPARTATE_1022_Hilic-neg",215068320,1.02966134189516,0.983860326339762
48,2547,"Glucose",21776544,2,"Pd","neg","Glucose_2547","Glucose_2547_Hilic-neg",13826793,1.57495251610749,1.61602908000748
48,732,"L-Threonine",415525248,2,"Pd","neg","L-Threonine_732","L-Threonine_732_Hilic-neg",394076736,1.05442724471199,1.02296363216746
48,3977,"D-Fructose",79630536,2,"Pd","neg","D-Fructose_3977","D-Fructose_3977_Hilic-neg",56751084,1.40315442427224,1.47124679931535
48,1022,"L-ASPARTATE",236015040,2,"Pd","neg","L-ASPARTATE_1022","L-ASPARTATE_1022_Hilic-neg",244375120,0.965789966810901,0.983860326339762
